Source,Target,like,retweet,both
477055584,1196514339479597057,False,True,False
1422818723832946691,1196514339479597057,True,True,True
1196893496772349952,1196514339479597057,True,True,True
1456482898962419716,1196514339479597057,True,True,True
928182816201936896,1196514339479597057,True,True,True
3271955250,1196514339479597057,False,True,False
1367335675272585220,1196514339479597057,True,True,True
859437130132729857,1196514339479597057,True,True,True
2582743436,1196514339479597057,True,True,True
1298610127193473024,1196514339479597057,True,True,True
1100418470267695104,1196514339479597057,False,True,False
1270660963084140545,1196514339479597057,False,True,False
1096139237597040641,1196514339479597057,False,True,False
2692275630,1196514339479597057,True,True,True
1264005118145499136,1196514339479597057,True,True,True
1471109235240886273,1196514339479597057,False,True,False
2505405770,1196514339479597057,True,True,True
2433868354,1196514339479597057,True,True,True
1446067575805419522,1196514339479597057,True,True,True
1438941283037290497,1196514339479597057,True,True,True
1424941961794965517,1196514339479597057,False,True,False
1028802847641677824,554497503,False,True,False
27310604,554497503,True,True,True
1328400911870418946,554497503,False,True,False
987694579,554497503,True,True,True
1460266375277076485,554497503,True,True,True
1393426365869871106,554497503,True,True,True
1490388494262448129,554497503,True,True,True
1383187402131443716,554497503,False,True,False
1301985521300889600,554497503,True,True,True
1479244838436577281,554497503,False,True,False
1324530706215772161,554497503,True,True,True
867447006,554497503,True,True,True
2934404601,554497503,False,True,False
1452756792799158274,554497503,True,True,True
3201938655,554497503,True,True,True
576801455,554497503,False,True,False
2822946202,554497503,False,True,False
3199991231,554497503,False,True,False
1193573778099322880,554497503,True,True,True
1167411927586430977,554497503,False,True,False
706396614,554497503,False,True,False
1405533572648169479,554497503,True,True,True
711294667,554497503,False,True,False
1250263057902657540,554497503,False,True,False
839125689949380608,554497503,True,True,True
806024348,554497503,False,True,False
835976500587343872,554497503,False,True,False
131216223,554497503,False,True,False
179899972,554497503,False,True,False
1381790634906820608,554497503,True,True,True
1408088822164885510,554497503,False,True,False
1492745039021330439,554497503,True,True,True
1316181218577195009,554497503,False,True,False
1448708652521586689,554497503,True,True,True
1498820117777559554,554497503,True,True,True
3318320846,554497503,True,True,True
1347992469183594496,554497503,True,True,True
121903639,554497503,True,True,True
1458786707323691009,554497503,True,True,True
1252989363664728071,554497503,True,True,True
823604232,554497503,True,True,True
1352061340987359233,554497503,True,True,True
87104000,554497503,True,True,True
1246545417631866880,554497503,True,True,True
2717750398,554497503,False,True,False
4017782659,554497503,True,True,True
14082239,554497503,False,True,False
781128266702790656,554497503,True,True,True
2874783885,554497503,False,True,False
815736692426543104,554497503,False,True,False
1445208561743765511,554497503,True,True,True
53185439,554497503,True,True,True
1158556622433792001,554497503,True,True,True
935403983400615936,554497503,True,True,True
554497503,554497503,False,True,False
146034709,554497503,True,True,True
1368779396488790016,554497503,False,True,False
44053393,554497503,True,True,True
1412603278676922369,554497503,True,True,True
1496868610614054912,554497503,True,True,True
4237019654,554497503,True,True,True
817165182157881349,554497503,True,True,True
1313059988433260544,554497503,False,True,False
1364773150878277634,554497503,True,True,True
1400936023,554497503,False,True,False
21050255,554497503,True,True,True
2284399146,554497503,True,True,True
4491996682,554497503,True,True,True
2238311898,554497503,False,True,False
1405537237723324433,554497503,True,True,True
443178701,554497503,True,True,True
1315428836687970304,554497503,True,True,True
1182444373520334849,554497503,True,True,True
2867910136,554497503,True,True,True
1323642152644169729,554497503,False,True,False
229703710,554497503,True,True,True
1060718898503450625,554497503,True,True,True
555414571,554497503,True,True,True
1475669852509519875,554497503,False,True,False
1423336765251899393,554497503,True,True,True
1348393306338676736,554497503,True,True,True
1210585019745538049,554497503,True,True,True
4774018860,554497503,True,True,True
837556383281111043,554497503,True,True,True
1247334487752663042,554497503,True,True,True
2969020942,554497503,True,True,True
279893283,554497503,True,True,True
1138352157462269952,554497503,True,True,True
625374659,554497503,True,True,True
1126966758747910145,554497503,True,True,True
839915603263700992,554497503,True,True,True
1448436912784646144,554497503,True,True,True
827103661977317381,554497503,True,True,True
1202943535726637056,554497503,False,True,False
2280647311,554497503,True,True,True
2318368607,554497503,True,True,True
55047173,554497503,True,True,True
15101491,554497503,False,True,False
583963378,554497503,False,True,False
526665072,554497503,True,True,True
1055909114,554497503,True,True,True
785314227107921920,554497503,False,True,False
1361811071082917901,554497503,False,True,False
1231777275303124992,554497503,True,True,True
1443762454836678656,554497503,False,True,False
334297104,554497503,False,True,False
4872993094,554497503,True,True,True
2287237340,554497503,True,True,True
838426421534011393,554497503,False,True,False
1038165963798134784,554497503,False,True,False
1471285706920280070,554497503,False,True,False
872269869307367425,554497503,False,True,False
1355879198859161600,554497503,True,True,True
21565264,554497503,False,True,False
845002104557240320,554497503,False,True,False
1111737120039858176,554497503,True,True,True
1036663610561327110,554497503,True,True,True
907956112619577345,554497503,False,True,False
2727913118,554497503,True,True,True
183832127,554497503,False,True,False
1488219957104197636,554497503,True,True,True
498261810,554497503,True,True,True
1114866821650440192,554497503,True,True,True
1417650457304997888,554497503,True,True,True
927510972230664192,554497503,True,True,True
305310764,554497503,True,True,True
906850111132540935,554497503,True,True,True
3042177804,554497503,False,True,False
1381336018423533572,554497503,True,True,True
1481852067790659585,554497503,True,True,True
87629571,554497503,True,True,True
780613368985980928,554497503,True,True,True
1462265622579093505,554497503,True,True,True
783001976833511424,554497503,False,True,False
532671426,554497503,True,True,True
19930145,554497503,True,True,True
124587401,554497503,False,True,False
402390256,554497503,False,True,False
50080124,554497503,True,True,True
1462085219872227330,554497503,True,True,True
1361135624271654915,554497503,True,True,True
1477750084188049408,554497503,True,True,True
1493379997586784256,554497503,False,True,False
1430342518818971650,554497503,True,True,True
790054040,554497503,True,True,True
1314894413814996992,554497503,True,True,True
1494404180575875073,554497503,True,True,True
934438520,554497503,False,True,False
788945381480464386,554497503,True,True,True
1486117700657164297,554497503,True,True,True
39666268,554497503,True,True,True
3316289198,554497503,True,True,True
825359465826353153,554497503,False,True,False
804431252384165888,49175397,True,False,False
2336093493,49175397,True,False,False
895420856188493824,49175397,True,False,False
384037997,49175397,True,False,False
2801666062,49175397,True,False,False
1299730345974259712,49175397,True,False,False
1158155170137530369,49175397,True,False,False
4866620944,49175397,True,False,False
843880222860722182,49175397,True,False,False
41340991,49175397,True,False,False
801369596,49175397,True,False,False
15560165,49175397,True,False,False
810019164,49175397,True,False,False
1454203277722144769,49175397,True,False,False
1005629920632901633,49175397,True,False,False
104680990,49175397,True,False,False
954117910657667073,49175397,True,False,False
63218422,49175397,True,False,False
48085143,49175397,True,False,False
864006834,49175397,True,False,False
1212026103268696065,49175397,True,False,False
2584318128,49175397,True,False,False
1948374571,49175397,True,False,False
21735894,49175397,True,False,False
254271923,49175397,True,False,False
1458400898787553280,49175397,True,False,False
