Source,Target
33893183,472481958
1247614120981135362,472481958
1027271581846843392,472481958
16998263,472481958
41250389,472481958
1006186075390439424,472481958
1088556052423954432,472481958
843994524,472481958
1483416159504539648,472481958
43472550,472481958
1437275550645514242,472481958
979577244,472481958
104037382,472481958
36173852,472481958
1184203628128755720,472481958
23469093,472481958
36691343,472481958
4902550527,472481958
1066834105344524289,472481958
18611609,472481958
1035305836250202112,472481958
1220155694181044224,472481958
17636933,472481958
337327776,472481958
184258076,472481958
321871451,472481958
17525694,472481958
243300549,472481958
1015928973732114435,472481958
1497969067,472481958
719252368920035328,472481958
1251989186862866433,472481958
621164749,472481958
1275838454,472481958
2917974413,472481958
985166111464443909,472481958
2218827961,472481958
4504656682,472481958
1102698995997200385,472481958
1245896462124199936,472481958
636599936,472481958
323542564,472481958
1216021034643705856,472481958
1266442103535611906,472481958
298082971,472481958
48389604,472481958
1294589571942973440,472481958
1370126862,472481958
501356050,472481958
1279169623523577858,472481958
437494256,472481958
1040741977,472481958
1255892670129602561,472481958
277819838,472481958
1972322612,472481958
262331774,472481958
24806912,472481958
1045369159578574850,472481958
19652486,472481958
225502961,472481958
1146162778815832066,472481958
976241892454051842,472481958
160189599,472481958
1380970819,472481958
907302868645953537,472481958
1364019111513178115,472481958
197298641,472481958
3435962339,472481958
374871615,472481958
934022255020929024,472481958
49400099,472481958
2362097189,472481958
757420913704865793,472481958
232892246,472481958
20960857,472481958
13393182,472481958
516943315,472481958
1169250367508496385,472481958
1042855112195026944,472481958
1336522371256246275,472481958
113393927,472481958
1154292071601266693,472481958
1017187925182869504,472481958
273465530,472481958
4345942635,472481958
420777530,472481958
1459276660205703169,472481958
23650662,472481958
134657548,472481958
1228127892493815809,472481958
609694474,472481958
268327624,472481958
289524112,472481958
160710998,472481958
1496742320137388032,472481958
405708725,472481958
796033023888289793,472481958
276280505,472481958
1296576396483891200,472481958
802997335580024832,472481958
1492547617573777424,472481958
1495889608222990339,472481958
796243740293664768,472481958
282340197,472481958
42334080,472481958
185876171,472481958
722379655,472481958
187703573,472481958
821504432374501376,472481958
3408786101,472481958
181600391,472481958
747258844703768577,472481958
827773118,472481958
1360345646826483717,472481958
169387999,472481958
922399508197019648,472481958
400499793,472481958
1151327520928796672,472481958
454519808,472481958
402926612,472481958
72877843,472481958
2350656494,472481958
351686967,472481958
18360735,472481958
204397552,472481958
939815102,472481958
1360770194633752576,472481958
1258501542933483520,472481958
263857055,472481958
2469342276,472481958
124018174,472481958
264321306,472481958
17858245,472481958
527659354,472481958
1450117208,472481958
65518995,472481958
3013054279,472481958
1198941983462612993,472481958
979714448,472481958
1290735864339935233,472481958
32580245,472481958
51165128,472481958
2150882221,472481958
2434162616,472481958
1258109814447595525,472481958
456183686,472481958
2471388277,472481958
19170945,472481958
2484609560,472481958
1460408969504210946,472481958
984943112052097024,472481958
529537535,472481958
237109715,472481958
352402883,472481958
1307770741,472481958
67532886,472481958
2773196696,472481958
864181508730372102,472481958
1473144185389821953,472481958
1457823583,472481958
1392849943019331586,472481958
22565248,472481958
204437035,472481958
2381064368,472481958
342820532,472481958
1317668043753967616,472481958
824450408,472481958
290051576,472481958
979192669514752000,472481958
126197496,472481958
60671885,472481958
989558775781539840,472481958
2916543973,472481958
190814558,472481958
258554207,472481958
1314298412767031296,472481958
739850749719412736,472481958
859410655878807553,472481958
1488726344078819332,472481958
1256840556,472481958
55119081,472481958
964595772,472481958
1221524171219521542,472481958
1475993553738285057,472481958
110456243,472481958
1444603764103688192,472481958
379422670,472481958
1358458046226202624,472481958
33244601,472481958
3303605923,472481958
487977723,472481958
2316448814,472481958
560707426,472481958
1349050555021357059,472481958
211567073,472481958
709860687,472481958
1487232931030618112,472481958
1496850965458296834,472481958
1032847520425107456,472481958
