Source,Target
3010570335,272323143
1471886972297822217,272323143
1299792871885856773,272323143
1448779720942710804,272323143
489597507,272323143
1331043889654927361,272323143
1480639080257884160,272323143
1502344072773742592,272323143
715543410145361920,272323143
1493245031863525379,272323143
1636296223,272323143
1052267638288773120,272323143
1453918329433993224,272323143
1377206526759202817,272323143
1352392009479315459,272323143
408896686,272323143
754291647656189952,272323143
940345827100311552,272323143
3249301401,272323143
300398275,272323143
1432702661695053837,272323143
862757948551987202,272323143
1187100695230586881,272323143
370538219,272323143
1720090141,272323143
1319127176612962304,272323143
519992498,272323143
69542830,272323143
614278794,272323143
1967704146,272323143
1442988246502363136,272323143
22832562,272323143
432638325,272323143
495869641,272323143
372613293,272323143
2987728547,272323143
343448566,272323143
1324512277144457216,272323143
1492984575961616384,272323143
1347077176017895425,272323143
15215554,272323143
2729987635,272323143
1423562906457841665,272323143
1177194498650234882,272323143
130586815,272323143
1204512532049870849,272323143
730990802495639552,272323143
1221428908790296576,272323143
1140361947159785472,272323143
388636289,272323143
308575331,272323143
1304850869565915137,272323143
854160191373271040,272323143
815205162889396225,272323143
3237195891,272323143
1486032959635443715,272323143
29403840,272323143
1264110186655911936,272323143
462066863,272323143
1443342342812016646,272323143
1092124174267674624,272323143
32827869,272323143
1219373436696350721,272323143
870891296818208768,272323143
1314371989310713857,272323143
1346904362241585153,272323143
370434812,272323143
1239002961461891072,272323143
1330744275923922946,272323143
1032656042981654528,272323143
939887256868966405,272323143
2878731948,272323143
1045860851658489858,272323143
24143999,272323143
2949447301,272323143
826900352599457797,272323143
1500157427177635842,272323143
1246225400826658816,272323143
1364374610922323972,272323143
24000600,272323143
35607218,272323143
823191079008817154,272323143
806856905712930820,272323143
34785404,272323143
1430392637979234306,272323143
1371545684688523266,272323143
429748614,272323143
2167229030,272323143
4625627903,272323143
1458451642337140744,272323143
614108067,272323143
1287037864199491585,272323143
1080136322268971008,272323143
42041375,272323143
54941426,272323143
1349169502282510339,272323143
971554987506454528,272323143
1201620065235415041,272323143
1224015841206792192,272323143
1128057474962137089,272323143
1211130371628077059,272323143
2928092219,272323143
48291123,272323143
382659306,272323143
1448360968610779137,272323143
1312375735647195137,272323143
2882583145,272323143
1483293203528704000,272323143
2298036888,272323143
290285615,272323143
409559299,272323143
30842667,272323143
20449805,272323143
1489693145029820423,272323143
1441394841825398799,272323143
34424230,272323143
897867179852431360,272323143
1435346457897447431,272323143
718060429289893888,272323143
274334876,272323143
2968688459,272323143
21449397,272323143
42762746,272323143
515026844,272323143
2440628881,272323143
1155158700790878209,272323143
1431459195761606659,272323143
15540010,272323143
814742218363834368,272323143
706965035009056769,272323143
2236615753,272323143
906981132,272323143
2589992509,272323143
193373060,272323143
360072234,272323143
316669552,272323143
2898570533,272323143
926208929255768064,272323143
1468749557056122880,272323143
756348268548911107,272323143
1219391414,272323143
1257722669618925571,272323143
565598405,272323143
1473839601605300234,272323143
2766854818,272323143
1473546768,272323143
1296163197590765569,272323143
188507812,272323143
196841873,272323143
1242855366938984448,272323143
22111537,272323143
1252808107,272323143
20916912,272323143
1498728944044019715,272323143
1472617631957991426,272323143
13126442,272323143
84185763,272323143
801029012,272323143
1255066733863452672,272323143
2879437654,272323143
721472337648959489,272323143
2601107938,272323143
1244686915166765056,272323143
738104904510767104,272323143
1470937475908575241,272323143
2233545734,272323143
792461795948498944,272323143
1292001,272323143
1061874037209522177,272323143
48479177,272323143
1109361036488933376,272323143
1204505631249633280,272323143
558055652,272323143
17031770,272323143
806629874354028544,272323143
1442346277631528963,272323143
328316201,272323143
288004312,272323143
104354366,272323143
889914819461210112,272323143
1232048550202236929,272323143
1099809694883897344,272323143
1278412551336984576,272323143
1644469266,272323143
41476311,272323143
1149018494589112321,272323143
590547415,272323143
39340515,272323143
1347979663939923969,272323143
702953029683830784,272323143
294048454,272323143
2372123689,272323143
27743303,272323143
1321243540404506628,272323143
472505852,272323143
1282664097700556800,272323143
870938330,272323143
581071778,272323143
1299333487976165376,272323143
2817243679,272323143
989616391035682816,272323143
252166086,272323143
2532931933,272323143
209190190,272323143
1325530661093076992,272323143
64061874,272323143
14339613,272323143
206529413,272323143
849053132,272323143
796746831988453376,272323143
2370652833,272323143
1484286764793872384,272323143
1361597464181145606,272323143
1106519281,272323143
2425990565,272323143
4098513795,272323143
1417220895307927555,272323143
1161492512663642112,272323143
3206390577,272323143
1398442263068352512,272323143
24194215,272323143
36973296,272323143
255319643,272323143
607660678,272323143
4852692622,272323143
